Employee,Task,StartTime,EndTime
Alice,task_06,2024-09-17,2024-09-17
Alice,task_08,2024-09-17,2024-09-18
Alice,task_09,2024-09-18,2024-09-19
Alice,task_11,2024-09-19,2024-09-20
Alice,task_12,2024-09-20,2024-09-20
Alice,task_13,2024-09-20,2024-09-24
Bob,task_01,2024-09-18,2024-09-19
Bob,task_02,2024-09-19,2024-09-19
Bob,task_04,2024-09-19,2024-09-20
Bob,task_07,2024-09-20,2024-09-24
Charlie,task_03,2024-09-17,2024-09-18
Charlie,task_05,2024-09-18,2024-09-19
Charlie,task_10,2024-09-19,2024-09-19
Charlie,task_14,2024-09-19,2024-09-20
Charlie,task_15,2024-09-20,2024-09-24
